forest_risk_id,severity_id,fri,fti,sdr,WHP
2707,5501,-97.84096527,0.011957848,"Fast, 41-55",659
2708,5503,-1.079141259,0.0000485,"Med, 41-55",72
2709,5507,-45.44093704,0.008067665,"Slow, 0-25",111
2710,5508,-54.58021927,0.006280447,"Med, 56-74",3646
2711,5511,-225.6651917,0.024543131,"Slow, 41-55",822
2712,5515,-159.7256927,0.015588426,"Fast, 56-74",1978
2713,5517,-0.921130776,0.000580995,"Fast, 0-25",1358
2714,5518,-37.8293457,0.007193289,"Slow, 0-25",441
2715,5519,-118.1959305,0.006689218,"Med, 0-25",258
2716,5524,-50.6046257,0.006513508,"Fast, 26-40",1863
2717,5525,-9.649418831,0.001405295,"Slow, 26-40",1371
2718,5528,-1.390499353,0.00064831,"Fast, 0-25",367
2719,5529,-0.373972327,0.000115056,"Slow, 0-25",560
2720,5539,-273.5111389,0.036643516,"Slow, 26-40",7265
2721,5540,-4.169967175,0.001599188,"Fast, 0-25",1411
2722,5542,-12.46066952,0.001194777,"Slow, 56-74",920
2723,5544,-0.953103781,0.000629081,"Fast, 0-25",1064
2724,5547,-1.358052135,0.000223157,"Med, 0-25",247
2725,5551,-8.066753387,0.001031838,"Med, 41-55",1052
2726,5565,-58.96549988,0.010469289,"Slow, 0-25",4266
2727,5569,-33.8093071,0.007356939,"Fast, 26-40",284
2728,5570,-0.805449605,0.000455766,"Fast, 0-25",45
2729,5573,-1.52414,0.000196178,"Fast, 41-55",164
2730,5575,-6.288656235,0.000603502,"Slow, 26-40",694
2731,5577,-1.648016214,0.000495563,"Med, 0-25",83
2732,5578,-73.23369598,0.013694939,"Med, 26-40",7749
2733,5581,-64.96183014,0.011533934,"Slow, 0-25",6346
2734,5584,-9.860800743,0.001045233,"Med, 75+",111
2735,5585,-16.75364494,0.001756822,"Slow, 41-55",3661
2736,5586,-2.399224281,0.000450523,"Med, 26-40",344
2737,5587,-92.74585724,0.023558509,"Med, 0-25",429
2738,5589,-1.720140696,0.000409777,"Fast, 26-40",229
2739,5591,-107.0181351,0.01047866,"Fast/Slow, 75+",738
2740,5592,-73.32843018,0.007937375,"Slow, 0-25",248
2741,5593,-0.69461292,0.000101472,"Slow, 0-25",493
2742,5594,-430.4922485,0.042429119,"Fast/Slow, 75+",438
2743,5597,-1.37876308,0.000257741,"Med, 41-55",24
2744,5598,-10.08141518,0.001195777,"Slow, 0-25",156
2745,5599,-226.0640564,0.022880437,"Fast, 56-74",297
2746,5601,-53.04340363,0.014439853,"Med, 0-25",1529
2747,5602,-96.02817535,0.009716096,"Fast, 56-74",604
2748,5603,-2.599532366,0.000477599,"Med, 26-40",1286
2749,5605,-53.85630798,0.010647122,"Fast, 26-40",10676
2750,5607,-3.968964815,0.000393223,"Slow, 56-74",627
2751,5608,-63.51226044,0.010594518,"Slow, 26-40",874
2752,5613,-22.93814659,0.0028033,"Fast, 26-40",1321
2753,5618,-229.7936401,0.026087314,"Med, 56-74",1869
2754,5620,-74.06439972,0.009051503,"Fast, 41-55",5215
2755,5621,-6.327891827,0.000690706,"Med, 75+",471
2756,5624,-22.38825417,0.008594762,"Fast, 0-25",9118
2757,5625,-37.66763687,0.003731904,"Slow, 56-74",1829
2758,5626,-3.484515429,0.000907604,"Slow, 0-25",561
2759,5629,-23.10313034,0.003882305,"Slow, 0-25",1782
2760,5632,-7.454220295,0.001332228,"Med, 26-40",4255
2761,5634,-0.03310677,0.0000207,"Fast, 0-25",31
2762,5635,-1.963473916,0.000245929,"Slow, 26-40",357
2763,5636,-3.430413246,0.000438284,"Med, 41-55",462
2764,5637,-23.7007885,0.004208061,"Fast, 0-25",1077
2765,5638,-0.358585387,0.000109193,"Med, 0-25",119
2766,5640,-15.16618919,0.001866289,"Fast, 41-55",356
2767,5641,-1.131240368,0.000130569,"Med, 56-74",99
2768,5643,-0.270041376,0.000160661,"Fast, 0-25",271
2769,5649,-0.540931463,0.000346569,"Med, 26-40",63
2770,5650,-53.9071312,0.01180838,"Fast, 0-25",2306
2771,5651,-13.12758541,0.003522167,"Slow, 0-25",398
2772,5654,-6.613665581,0.000860046,"Med, 26-40",2070
2773,5657,-8.508228302,0.001703406,"Fast, 26-40",1920
2774,5658,-13.08092594,0.001446619,"Med, 75+",970
2775,5662,-96.76667023,0.010523396,"Slow, 41-55",2710
2776,5664,-11.08564949,0.003385609,"Med, 0-25",1435
2777,5665,-5.616473675,0.000947279,"Slow, 0-25",1156
2778,5667,-164.0566559,0.017842645,"Slow, 41-55",938
2779,5669,-34.14121628,0.006228955,"Med, 26-40",989
2780,5670,-5.80401516,0.003501954,"Slow, 0-25",121
2781,5671,-1.16340065,0.000205827,"Slow, 0-25",941
2782,5672,-3.705132008,0.000692624,"Med, 41-55",171
2783,5674,-1.775663376,0.00068167,"Fast, 0-25",133
2784,5675,-3.135563374,0.000350289,"Slow, 41-55",174
2785,5676,-2.961277962,0.000628741,"Fast, 26-40",2814
2786,5677,-48.5396843,0.005108081,"Slow, 56-74",2504
2787,5678,-2431.569336,0.241739094,"Slow, 56-74",277
2788,5679,-0.991669655,0.000188411,"Med, 26-40",299
2789,5682,-1.671610355,0.000476599,"Med, 0-25",84
2790,5684,-3.821187735,0.00149869,"Fast, 0-25",561
2791,5688,-33.44884872,0.013180589,"Fast, 0-25",416
