str_id,severity_id,wwacbd,wwacbh,wwacc,wwach,wwafuel13,wwafuel40
298,633,19,13,25,25,2,122
299,634,11,7,55,57,10,165
300,635,14,13,15,8,1,101
301,636,1,144,45,25,6,147
302,637,18,13,35,57,8,183
303,640,1,144,45,25,6,147
304,643,27,13,35,25,5,145
305,647,38,13,45,25,8,183
306,651,19,13,25,25,2,122
307,654,14,13,15,25,2,122
308,657,14,13,15,8,1,101
309,658,11,20,55,57,10,165
310,660,11,20,55,57,10,165
311,665,19,13,25,25,2,122
312,666,1,263,45,57,8,161
313,667,4,30,25,57,8,183
314,669,8,43,45,57,9,188
315,670,8,7,45,57,10,165
316,671,27,13,35,8,5,145
317,675,16,13,65,57,10,165
318,680,1,263,45,57,8,161
319,681,1,144,45,25,6,147
320,683,14,13,15,8,1,101
321,684,1,263,45,57,8,161
322,685,11,7,55,57,10,165
323,688,1,263,55,57,8,161
324,691,8,13,45,57,10,165
325,697,1,263,55,57,8,161
326,698,8,20,45,57,8,183
327,700,11,43,55,57,9,188
328,703,11,7,55,57,10,165
329,707,1,263,45,57,8,161
330,711,6,20,35,57,8,183
331,714,1,263,25,57,2,121
332,715,1,52,35,8,2,121
333,716,1,144,55,25,6,147
334,718,8,13,45,57,8,161
335,719,14,13,15,8,1,101
336,721,45,13,55,25,8,183
337,723,19,13,25,8,2,122
338,724,1,144,45,25,6,147
339,725,14,13,15,8,2,122
340,726,14,13,15,25,2,122
341,728,27,13,35,25,5,145
342,731,1,263,45,57,8,161
343,732,6,20,35,57,8,183
344,733,1,144,55,25,6,147
345,734,19,13,25,25,2,122
346,735,1,144,35,25,6,147
347,737,27,13,35,25,5,145
348,738,14,13,15,8,2,122
349,739,6,39,35,57,10,165
350,745,8,16,45,57,8,183
351,747,8,13,45,57,8,161
352,748,38,13,45,25,8,183
353,749,4,7,25,57,8,183
354,750,8,20,45,57,10,165
355,755,1,263,45,57,8,161
356,756,1,263,55,57,8,161
357,757,1,263,35,57,2,121
358,759,19,13,25,8,5,142
359,765,19,13,25,25,2,122
360,767,27,13,35,25,5,145
361,768,19,13,25,8,2,122
362,773,1,144,45,25,6,147
363,774,19,13,25,8,2,122
364,778,1,144,55,25,6,147
365,779,38,13,45,25,8,183
366,780,19,13,25,25,2,122
367,789,27,13,35,25,5,145
368,792,27,13,35,25,5,145
369,794,8,13,45,57,8,161
370,797,11,20,55,57,10,165
371,798,8,13,45,57,10,165
372,799,27,13,35,25,5,145
373,800,1,263,45,57,8,161
374,801,27,13,35,25,5,145
375,802,16,7,65,57,10,165
376,803,19,13,25,25,2,122
377,805,27,13,35,25,5,145
378,807,14,13,15,25,8,101
379,808,14,13,15,8,1,102
380,809,27,13,35,25,5,145
381,811,38,13,45,25,8,183
382,812,8,13,45,57,10,165
383,817,27,13,35,25,5,145
384,818,1,263,45,57,8,161
385,820,38,13,45,25,8,183
386,821,1,263,45,57,8,161
387,825,1,144,45,25,6,147
388,826,1,263,45,57,8,161
389,827,19,13,25,25,2,122
390,828,27,13,35,25,5,145
391,831,8,13,45,57,8,161
392,832,22,13,75,57,10,165
393,837,19,13,25,25,2,122
394,839,22,7,75,57,10,165
395,841,11,7,55,57,10,165
396,842,1,263,75,57,8,161
397,847,27,13,35,25,5,145
398,853,11,13,55,57,10,165
399,856,8,13,45,57,10,165
400,857,1,144,35,25,2,122
401,859,19,13,25,25,2,122
402,861,6,16,35,57,8,183
403,863,27,13,35,25,5,145
404,866,14,13,15,8,5,142
405,868,1,263,45,57,8,161
406,869,27,13,35,8,5,145
407,870,1,144,55,25,6,147
408,872,19,13,25,25,2,122
409,873,1,144,45,25,6,147
410,874,19,13,25,25,2,122
411,875,1,263,45,57,8,161
412,877,11,13,55,57,10,165
413,879,14,13,15,8,2,122
414,881,16,13,65,57,10,165
415,885,8,43,45,57,9,188
416,886,38,13,45,25,8,183
417,887,11,20,55,57,10,165
418,888,14,13,15,25,1,101
419,893,16,13,65,57,10,165
420,894,8,7,45,57,10,165
421,896,8,20,45,57,8,183
422,897,11,7,55,57,10,165
423,898,1,263,65,57,8,161
424,900,19,13,25,25,5,142
425,901,1,144,35,25,2,122
426,902,1,263,35,57,2,121
427,903,6,7,35,57,8,183
428,905,27,13,35,25,5,145
429,908,19,13,25,25,2,122
