forest_topo_id,severity_id,asp,dem,slope
39165,81032,East,2896,32
39166,81033,East,2573,44
39167,81034,West,1950,22
39168,81035,North,1892,64
39169,81037,East,2874,44
39170,81038,North,2555,32
39171,81039,East,2389,22
39172,81040,North,2562,0
39173,81041,West,2773,64
39174,81042,West,2238,44
39175,81043,East,2428,64
39176,81047,North,1692,22
39177,81050,South,2399,22
39178,81051,North,2417,64
39179,81053,East,2222,32
39180,81059,West,2482,64
39181,81062,North,3007,22
39182,81063,West,2413,44
39183,81064,South,1712,0
39184,81066,South,2768,22
39185,81067,East,2822,64
39186,81071,East,2614,64
39187,81072,East,1916,22
39188,81074,North,3045,32
39189,81076,North,2014,0
39190,81078,East,1916,32
39191,81080,East,1921,22
39192,81081,North,2387,32
39193,81084,West,1843,32
39194,81085,West,2962,0
39195,81089,East,2618,22
39196,81091,North,2716,64
39197,81094,West,2031,32
39198,81095,East,1921,0
39199,81096,East,1935,22
39200,81098,East,2108,22
39201,81101,West,3076,22
39202,81104,East,2455,44
39203,81105,West,2222,64
39204,81108,North,2501,90
39205,81110,North,2543,44
39206,81111,North,2871,32
39207,81112,North,2892,22
39208,81113,East,2006,32
39209,81116,West,1963,64
39210,81117,North,2615,22
39211,81120,South,2505,64
39212,81121,East,2052,22
39213,81122,North,2167,90
39214,81132,West,2273,32
39215,81135,East,2664,32
39216,81136,East,1635,32
39217,81139,East,2513,44
39218,81141,North,1840,32
39219,81142,East,2957,64
39220,81143,East,2635,0
39221,81145,West,2280,44
39222,81146,South,2745,22
39223,81147,North,2346,64
39224,81149,North,2899,32
39225,81150,South,3012,32
39226,81157,North,1812,22
39227,81159,West,1868,22
39228,81163,South,2075,32
39229,81165,North,2186,22
39230,81167,West,2064,64
39231,81170,West,1867,0
39232,81172,North,2731,44
39233,81173,North,2509,44
39234,81175,East,2943,32
39235,81178,North,2116,22
39236,81183,North,1901,32
39237,81186,East,1718,0
39238,81187,South,2411,22
39239,81188,South,1706,22
39240,81191,East,2605,32
39241,81194,South,3084,22
39242,81195,East,2654,44
39243,81198,North,2181,22
39244,81199,East,1890,32
39245,81200,North,1821,32
39246,81201,East,2578,22
39247,81202,North,2285,22
39248,81203,North,2249,64
39249,81204,North,2134,22
39250,81205,South,2137,64
39251,81206,West,2140,90
39252,81207,East,1944,32
39253,81211,East,2490,64
39254,81213,East,2180,44
39255,81219,South,2280,22
39256,81220,West,1863,44
39257,81226,East,2223,32
39258,81228,North,2629,22
39259,81232,East,2841,44
39260,81236,West,2508,64
39261,81245,North,1761,22
39262,81246,East,2066,22
39263,81247,South,2556,32
39264,81248,West,2549,32
39265,81250,West,1841,22
39266,81251,North,1885,22
39267,81252,East,1844,32
39268,81254,South,2488,32
39269,81255,South,2358,32
39270,81258,North,2960,32
39271,81260,North,1605,32
39272,81262,West,2361,44
39273,81263,North,1958,22
39274,81268,East,2025,32
39275,81273,North,2430,0
39276,81274,North,2724,44
39277,81275,North,2439,22
39278,81277,South,1708,0
39279,81278,West,1694,22
39280,81279,North,2002,22
39281,81282,West,2347,64
39282,81283,North,2033,32
39283,81287,South,1885,22
39284,81288,North,1745,44
39285,81293,East,1671,0
39286,81294,North,2139,22
39287,81295,East,2812,0
39288,81296,North,1651,32
39289,81297,West,2038,22
39290,81303,North,1932,32
39291,81304,South,2874,22
39292,81305,East,2672,0
39293,81307,North,2355,64
39294,81311,South,2919,22
39295,81313,North,1980,32
39296,81315,West,2494,32
39297,81316,North,2408,64
39298,81317,East,2064,22
39299,81325,South,2870,44
39300,81326,North,2432,64
39301,81327,South,2062,64
39302,81329,East,2405,22
39303,81330,South,2879,44
39304,81331,West,2908,64
39305,81332,West,2222,64
39306,81334,South,2225,44
39307,81335,West,2776,44
39308,81336,North,2411,64
39309,81337,West,1755,0
39310,81342,East,2078,22
